tanggal,provinsi_id,provinsi,harga,avg,stddev,kelompok,persen,diff,show
2024-01-01,1,Aceh,34250.0,61450.0,30950.0,6,0.0,,True
2024-01-01,2,Sumatera Utara,46400.0,61450.0,30950.0,6,0.0,,True
2024-01-01,3,Sumatera Barat,70000.0,61450.0,30950.0,6,0.0,,True
2024-01-01,4,Riau,0.0,61450.0,30950.0,7,0.0,,False
2024-01-01,5,Kepulauan Riau,60750.0,61450.0,30950.0,6,0.0,,True
2024-01-01,6,Jambi,39950.0,61450.0,30950.0,6,0.0,,True
2024-01-01,7,Bengkulu,0.0,61450.0,30950.0,7,0.0,,False
2024-01-01,8,Sumatera Selatan,0.0,61450.0,30950.0,7,0.0,,False
2024-01-01,9,Kepulauan Bangka Belitung,81250.0,61450.0,30950.0,6,0.0,,True
2024-01-01,10,Lampung,0.0,61450.0,30950.0,7,0.0,,False
2024-01-01,11,Banten,62950.0,61450.0,30950.0,6,0.0,,True
2024-01-01,12,Jawa Barat,70800.0,61450.0,30950.0,6,0.0,,True
2024-01-01,13,DKI Jakarta,0.0,61450.0,30950.0,7,0.0,,False
2024-01-01,14,Jawa Tengah,56400.0,61450.0,30950.0,6,0.0,,True
2024-01-01,15,DI Yogyakarta,68750.0,61450.0,30950.0,6,0.0,,True
2024-01-01,16,Jawa Timur,55250.0,61450.0,30950.0,6,0.0,,True
2024-01-01,17,Bali,55000.0,61450.0,30950.0,6,0.0,,True
2024-01-01,18,Nusa Tenggara Barat,54050.0,61450.0,30950.0,6,0.0,,True
2024-01-01,19,Nusa Tenggara Timur,0.0,61450.0,30950.0,7,0.0,,False
2024-01-01,20,Kalimantan Barat,0.0,61450.0,30950.0,7,0.0,,False
2024-01-01,21,Kalimantan Selatan,45650.0,61450.0,30950.0,6,0.0,,True
2024-01-01,22,Kalimantan Tengah,79100.0,61450.0,30950.0,6,0.0,,True
2024-01-01,23,Kalimantan Timur,70050.0,61450.0,30950.0,6,0.0,,True
2024-01-01,24,Kalimantan Utara,0.0,61450.0,30950.0,7,0.0,,False
2024-01-01,25,Gorontalo,70000.0,61450.0,30950.0,6,0.0,,True
2024-01-01,26,Sulawesi Selatan,45100.0,61450.0,30950.0,6,0.0,,True
2024-01-01,27,Sulawesi Tenggara,67200.0,61450.0,30950.0,6,0.0,,True
2024-01-01,28,Sulawesi Tengah,0.0,61450.0,30950.0,7,0.0,,False
2024-01-01,29,Sulawesi Utara,73750.0,61450.0,30950.0,6,0.0,,True
2024-01-01,30,Sulawesi Barat,46450.0,61450.0,30950.0,6,0.0,,True
2024-01-01,31,Maluku,88150.0,61450.0,30950.0,6,0.0,,True
2024-01-01,32,Maluku Utara,0.0,61450.0,30950.0,7,0.0,,False
2024-01-01,33,Papua,0.0,61450.0,30950.0,7,0.0,,False
2024-01-01,34,Papua Barat,72500.0,61450.0,30950.0,6,0.0,,True
2024-01-02,1,Aceh,40650.0,67050.0,15800.0,5,18.69,Rp6400,True
2024-01-02,2,Sumatera Utara,51100.0,67050.0,15800.0,5,10.13,Rp4700,True
2024-01-02,3,Sumatera Barat,68150.0,67050.0,15800.0,3,-2.64,-Rp1850,True
2024-01-02,4,Riau,62600.0,67050.0,15800.0,6,0.0,,True
2024-01-02,5,Kepulauan Riau,65150.0,67050.0,15800.0,3,7.24,Rp4400,True
2024-01-02,6,Jambi,91250.0,67050.0,15800.0,1,128.41,Rp51300,True
2024-01-02,7,Bengkulu,55700.0,67050.0,15800.0,6,0.0,,True
2024-01-02,8,Sumatera Selatan,58350.0,67050.0,15800.0,6,0.0,,True
2024-01-02,9,Kepulauan Bangka Belitung,72500.0,67050.0,15800.0,3,-10.77,-Rp8750,True
2024-01-02,10,Lampung,67900.0,67050.0,15800.0,6,0.0,,True
2024-01-02,11,Banten,76000.0,67050.0,15800.0,3,20.73,Rp13050,True
2024-01-02,12,Jawa Barat,75600.0,67050.0,15800.0,3,6.78,Rp4800,True
2024-01-02,13,DKI Jakarta,93350.0,67050.0,15800.0,6,0.0,,True
2024-01-02,14,Jawa Tengah,66250.0,67050.0,15800.0,3,17.46,Rp9850,True
2024-01-02,15,DI Yogyakarta,70000.0,67050.0,15800.0,3,1.82,Rp1250,True
2024-01-02,16,Jawa Timur,56500.0,67050.0,15800.0,4,2.26,Rp1250,True
2024-01-02,17,Bali,57250.0,67050.0,15800.0,4,4.09,Rp2250,True
2024-01-02,18,Nusa Tenggara Barat,59550.0,67050.0,15800.0,4,10.18,Rp5500,True
2024-01-02,19,Nusa Tenggara Timur,78350.0,67050.0,15800.0,6,0.0,,True
2024-01-02,20,Kalimantan Barat,52550.0,67050.0,15800.0,6,0.0,,True
2024-01-02,21,Kalimantan Selatan,47100.0,67050.0,15800.0,5,3.18,Rp1450,True
2024-01-02,22,Kalimantan Tengah,81600.0,67050.0,15800.0,2,3.16,Rp2500,True
2024-01-02,23,Kalimantan Timur,68550.0,67050.0,15800.0,3,-2.14,-Rp1500,True
2024-01-02,24,Kalimantan Utara,100350.0,67050.0,15800.0,6,0.0,,True
2024-01-02,25,Gorontalo,49150.0,67050.0,15800.0,5,-29.79,-Rp20850,True
2024-01-02,26,Sulawesi Selatan,46400.0,67050.0,15800.0,5,2.88,Rp1300,True
2024-01-02,27,Sulawesi Tenggara,64700.0,67050.0,15800.0,3,-3.72,-Rp2500,True
2024-01-02,28,Sulawesi Tengah,51450.0,67050.0,15800.0,6,0.0,,True
2024-01-02,29,Sulawesi Utara,67500.0,67050.0,15800.0,3,-8.47,-Rp6250,True
2024-01-02,30,Sulawesi Barat,45650.0,67050.0,15800.0,5,-1.72,-Rp800,True
2024-01-02,31,Maluku,88150.0,67050.0,15800.0,2,0.0,Rp0,True
2024-01-02,32,Maluku Utara,100000.0,67050.0,15800.0,6,0.0,,True
2024-01-02,33,Papua,89050.0,67050.0,15800.0,6,0.0,,True
2024-01-02,34,Papua Barat,61900.0,67050.0,15800.0,4,-14.62,-Rp10600,True
2024-01-03,1,Aceh,35850.0,64800.0,15000.0,5,-11.81,-Rp4800,True
