tanggal,provinsi_id,provinsi,harga,avg,stddev,kelompok,persen,diff,show
2024-01-01,1,Aceh,28350.0,28850.0,13800.0,6,0.0,,True
2024-01-01,2,Sumatera Utara,28850.0,28850.0,13800.0,6,0.0,,True
2024-01-01,3,Sumatera Barat,26600.0,28850.0,13800.0,6,0.0,,True
2024-01-01,4,Riau,0.0,28850.0,13800.0,7,0.0,,False
2024-01-01,5,Kepulauan Riau,27600.0,28850.0,13800.0,6,0.0,,True
2024-01-01,6,Jambi,25700.0,28850.0,13800.0,6,0.0,,True
2024-01-01,7,Bengkulu,0.0,28850.0,13800.0,7,0.0,,False
2024-01-01,8,Sumatera Selatan,0.0,28850.0,13800.0,7,0.0,,False
2024-01-01,9,Kepulauan Bangka Belitung,31800.0,28850.0,13800.0,6,0.0,,True
2024-01-01,10,Lampung,0.0,28850.0,13800.0,7,0.0,,False
2024-01-01,11,Banten,26500.0,28850.0,13800.0,6,0.0,,True
2024-01-01,12,Jawa Barat,27050.0,28850.0,13800.0,6,0.0,,True
2024-01-01,13,DKI Jakarta,0.0,28850.0,13800.0,7,0.0,,False
2024-01-01,14,Jawa Tengah,26350.0,28850.0,13800.0,6,0.0,,True
2024-01-01,15,DI Yogyakarta,27000.0,28850.0,13800.0,6,0.0,,True
2024-01-01,16,Jawa Timur,25800.0,28850.0,13800.0,6,0.0,,True
2024-01-01,17,Bali,26100.0,28850.0,13800.0,6,0.0,,True
2024-01-01,18,Nusa Tenggara Barat,29550.0,28850.0,13800.0,6,0.0,,True
2024-01-01,19,Nusa Tenggara Timur,0.0,28850.0,13800.0,7,0.0,,False
2024-01-01,20,Kalimantan Barat,0.0,28850.0,13800.0,7,0.0,,False
2024-01-01,21,Kalimantan Selatan,31100.0,28850.0,13800.0,6,0.0,,True
2024-01-01,22,Kalimantan Tengah,31200.0,28850.0,13800.0,6,0.0,,True
2024-01-01,23,Kalimantan Timur,28700.0,28850.0,13800.0,6,0.0,,True
2024-01-01,24,Kalimantan Utara,0.0,28850.0,13800.0,7,0.0,,False
2024-01-01,25,Gorontalo,34300.0,28850.0,13800.0,6,0.0,,True
2024-01-01,26,Sulawesi Selatan,23950.0,28850.0,13800.0,6,0.0,,True
2024-01-01,27,Sulawesi Tenggara,29650.0,28850.0,13800.0,6,0.0,,True
2024-01-01,28,Sulawesi Tengah,0.0,28850.0,13800.0,7,0.0,,False
2024-01-01,29,Sulawesi Utara,30200.0,28850.0,13800.0,6,0.0,,True
2024-01-01,30,Sulawesi Barat,23750.0,28850.0,13800.0,6,0.0,,True
